model_name,dsc/test,dsc/test_LV,dsc/test_RV,dsc/test_MYO,gen/anatomically_valid
alpha-1000,0.9184466600418091,0.9440969228744507,0.9141474962234497,0.8970955014228821,0.8517170548439026
alpha-2,0.9171287417411804,0.9437217116355896,0.9095046520233154,0.898159921169281,0.8145015835762024
alpha-1,0.9167760610580444,0.9431315660476685,0.9135937690734863,0.8936034440994263,0.8439653515815735
alpha-3,0.9159108996391296,0.9432126879692078,0.908403754234314,0.896116316318512,0.8067994117736816
alpha-0.5,0.9156745076179504,0.9430146217346191,0.9120372533798218,0.8919716477394104,0.8264402747154236
alpha-500,0.9155954718589783,0.9416343569755554,0.9118530750274658,0.8932993412017822,0.8362522125244141
alpha-50,0.9155942797660828,0.9441989660263062,0.9116544127464294,0.8909290432929993,0.8901262879371643
alpha-10,0.9136472940444946,0.9453995227813721,0.9032264947891235,0.892315685749054,0.6419128179550171
alpha-5,0.9136298298835754,0.9404274225234985,0.9079756140708923,0.8924857974052429,0.8561608195304871
alpha-4,0.9123480319976807,0.9382337927818298,0.9063431024551392,0.8924676775932312,0.8522170782089233
alpha-100,0.9120954871177673,0.9386948347091675,0.9063377380371094,0.8912532329559326,0.8835410475730896
alpha-0.1,0.9032639861106873,0.9348748922348022,0.9012170433998108,0.8737003803253174,0.19889552891254425
alpha-0.01,0.8216579556465149,0.9168851971626282,0.8034653663635254,0.7446237802505493,0.0
alpha-0.001,0.7203690409660339,0.8917673230171204,0.6881585717201233,0.5811818838119507,0.0
alpha-0,0.7092646956443787,0.8918468356132507,0.6696441173553467,0.5663030743598938,0.0
