model_name,dsc/test,dsc/test_RV,dsc/test_MYO,dsc/test_LV,gen/anatomically_valid
shape-prior-alpha-0,0.9134303331375122,0.9072644710540771,0.8927435278892517,0.9402832984924316,0.5147340297698975
shape-prior-alpha-0.0001,0.9149644374847412,0.9107134938240051,0.8911945819854736,0.9429852962493896,0.527156412601471
shape-prior-alpha-0.0005,0.9119797348976135,0.9093625545501709,0.8880593180656433,0.938517689704895,0.4549046754837036
shape-prior-alpha-0.001,0.9132717847824097,0.904399037361145,0.8926053643226624,0.9428111910820007,0.5002504587173462
shape-prior-alpha-0.005,0.9160702228546143,0.9094511270523071,0.8936228156089783,0.9451364874839783,0.6778632998466492
shape-prior-alpha-0.01,0.9037156105041504,0.9032328128814697,0.8771281242370605,0.9307855367660522,0.5380939841270447
shape-prior-alpha-0.05,0.9115772247314453,0.906403124332428,0.8872795701026917,0.941050112247467,0.7176236510276794
shape-prior-alpha-0.1,0.9133586287498474,0.9080173373222351,0.8906339406967163,0.9414237141609192,0.873121440410614
shape-prior-alpha-0.5,0.9143039584159851,0.9142129421234131,0.8893531560897827,0.9393461346626282,0.8921377658843994
shape-prior-alpha-1,0.9164831042289734,0.9113909006118774,0.893018901348114,0.945039689540863,0.910683274269104
shape-prior-alpha-10,0.9157699346542358,0.9106380939483643,0.8919577598571777,0.9447140693664551,0.8743798136711121
shape-prior-alpha-100,0.9169530272483826,0.9108978509902954,0.8967534899711609,0.9432075619697571,0.8134092688560486
shape-prior-alpha-1000,0.9170316457748413,0.9115655422210693,0.8947713375091553,0.9447583556175232,0.888131856918335
shape-prior-alpha-5,0.9148709177970886,0.9065606594085693,0.8959801197052002,0.9420726299285889,0.8960647583007812
shape-prior-alpha-50,0.9156132340431213,0.9111447930335999,0.8909473419189453,0.9447481632232666,0.804737389087677
shape-prior-alpha-500,0.9154039621353149,0.9113433361053467,0.8922609090805054,0.9426071643829346,0.890623152256012
