model_name,fid,frds,test_recon_loss
ld-8-beta-0-gamma-200,14.927140235900879,7.67637825012207,2902.12744140625
ld-8-beta-1-gamma-200,14.997184753417969,7.696919918060303,2903.689697265625
ld-6-beta-1-gamma-200,15.308816909790039,10.446409225463867,3057.19384765625
ld-6-beta-0-gamma-200,15.290668487548828,10.49776840209961,3053.315673828125
ld-8-beta-0-gamma-500,11.514161109924316,13.866198539733887,4262.21875
ld-8-beta-1-gamma-500,11.506335258483887,14.00182056427002,4266.3642578125
ld-6-beta-1-gamma-100,18.444753646850586,16.819150924682617,2694.569580078125
ld-6-beta-0-gamma-100,18.511133193969727,17.12398338317871,2689.483642578125
ld-16-beta-1-gamma-500,13.018437385559082,22.768505096435547,4422.90234375
ld-16-beta-0-gamma-500,13.00847053527832,22.93444061279297,4422.4501953125
ld-4-beta-1-gamma-500,12.19461727142334,25.250885009765625,4598.0869140625
ld-4-beta-0-gamma-500,12.201133728027344,25.276044845581055,4595.94580078125
ld-6-beta-1-gamma-500,12.060681343078613,25.684598922729492,4152.52392578125
ld-6-beta-0-gamma-500,12.06442928314209,25.795377731323242,4151.1982421875
ld-16-beta-1-gamma-200,16.058443069458008,25.91374969482422,3172.104248046875
ld-16-beta-0-gamma-200,16.026981353759766,26.24993896484375,3164.73095703125
ld-4-beta-0-gamma-10,35.348854064941406,27.09749412536621,3462.24169921875
ld-4-beta-1-gamma-50,19.204172134399414,29.37232208251953,3518.92626953125
ld-4-beta-1-gamma-5,36.53778839111328,29.573144912719727,3456.8603515625
ld-4-beta-0-gamma-50,19.252107620239258,29.710357666015625,3513.415771484375
ld-4-beta-0-gamma-100,15.981308937072754,32.30686950683594,3568.93359375
ld-4-beta-1-gamma-100,15.925251007080078,32.43975830078125,3569.946044921875
ld-4-beta-0-gamma-200,14.521692276000977,32.67375946044922,3893.07421875
ld-4-beta-1-gamma-200,14.551072120666504,32.70211410522461,3894.840576171875
ld-4-beta-1-gamma-10,32.706668853759766,33.779598236083984,3323.166259765625
ld-16-beta-0-gamma-1000,13.646708488464355,34.13893508911133,5278.64990234375
ld-16-beta-1-gamma-1000,13.64732551574707,34.23210525512695,5280.05224609375
ld-8-beta-1-gamma-1000,11.661983489990234,34.867820739746094,5263.19775390625
ld-8-beta-0-gamma-1000,11.638138771057129,34.894779205322266,5261.3876953125
ld-4-beta-1-gamma-20,26.093059539794922,36.85025405883789,3340.14453125
ld-8-beta-1-gamma-100,19.544452667236328,37.46049118041992,2483.252197265625
ld-4-beta-0-gamma-5,37.29532241821289,38.72297286987305,3453.461669921875
ld-8-beta-0-gamma-100,19.656734466552734,38.88532638549805,2479.3515625
ld-4-beta-0-gamma-20,26.843793869018555,42.7089729309082,3332.31591796875
ld-6-beta-0-gamma-1000,12.238238334655762,42.941307067871094,5441.56689453125
ld-6-beta-1-gamma-1000,12.269448280334473,42.99059295654297,5443.76220703125
ld-16-beta-1-gamma-100,17.57869529724121,47.26228713989258,2463.712158203125
ld-16-beta-0-gamma-100,17.68807029724121,48.273658752441406,2452.496337890625
ld-6-beta-1-gamma-50,22.42003059387207,48.61591339111328,2475.678466796875
ld-6-beta-0-gamma-50,22.56041717529297,50.47399139404297,2471.168212890625
