model_name,fid_manual,test_recon_loss
ld-8-beta-0.1-gamma-1000,11.30186653137207,7857.97607421875
ld-8-beta-0-gamma-1000,11.308643341064453,7857.67578125
ld-8-beta-0.01-gamma-1000,11.309978485107422,7857.4951171875
ld-8-beta-1-gamma-1000,11.374841690063477,7851.18408203125
ld-4-beta-0.1-gamma-1000,11.487789154052734,7910.31689453125
ld-4-beta-0-gamma-1000,11.493141174316406,7909.85302734375
ld-4-beta-0.01-gamma-1000,11.493486404418945,7909.9248046875
ld-4-beta-1-gamma-1000,11.508111000061035,7911.4794921875
ld-32-beta-0-gamma-5000,12.344537734985352,11161.703125
ld-32-beta-0.1-gamma-5000,12.34463882446289,11161.931640625
ld-32-beta-0.01-gamma-5000,12.345155715942383,11161.8173828125
ld-32-beta-1-gamma-5000,12.361791610717773,11162.2822265625
ld-32-beta-0-gamma-1000,12.559318542480469,8301.0322265625
ld-32-beta-1-gamma-1000,12.567244529724121,8302.82421875
ld-32-beta-0.01-gamma-1000,12.576872825622559,8301.1748046875
ld-32-beta-0.1-gamma-1000,12.577942848205566,8301.5712890625
ld-8-beta-0.01-gamma-500,14.11497688293457,5954.0595703125
ld-8-beta-0-gamma-500,14.119796752929688,5955.28076171875
ld-8-beta-1-gamma-500,14.122320175170898,5961.60205078125
ld-8-beta-0.1-gamma-500,14.129626274108887,5955.33349609375
ld-4-beta-0-gamma-500,14.14411735534668,6913.38525390625
ld-4-beta-1-gamma-500,14.163028717041016,6915.833984375
ld-4-beta-0.1-gamma-500,14.169926643371582,6913.4833984375
ld-4-beta-0.01-gamma-500,14.178059577941895,6913.16455078125
ld-16-beta-0.01-gamma-5000,14.232271194458008,11036.2998046875
ld-16-beta-0-gamma-5000,14.244623184204102,11035.9482421875
ld-16-beta-0.1-gamma-5000,14.245155334472656,11035.9384765625
ld-16-beta-1-gamma-5000,14.245734214782715,11035.865234375
ld-16-beta-1-gamma-1000,14.358444213867188,8239.81640625
ld-16-beta-0-gamma-1000,14.37183666229248,8237.1748046875
ld-16-beta-0.01-gamma-1000,14.376428604125977,8237.2158203125
ld-16-beta-0.1-gamma-1000,14.37831974029541,8236.9345703125
ld-32-beta-1-gamma-500,14.433886528015137,6419.845703125
ld-32-beta-0.1-gamma-500,14.44952392578125,6416.8466796875
ld-32-beta-0.01-gamma-500,14.458357810974121,6415.79345703125
ld-32-beta-0-gamma-500,14.463644981384277,6416.09033203125
ld-8-beta-0.01-gamma-5000,15.749897003173828,11088.6689453125
ld-8-beta-0-gamma-5000,15.750287055969238,11087.9833984375
ld-8-beta-0.1-gamma-5000,15.750874519348145,11088.623046875
ld-8-beta-1-gamma-5000,15.755509376525879,11089.369140625
ld-16-beta-0.01-gamma-500,15.989161491394043,6140.69189453125
ld-16-beta-1-gamma-500,15.991390228271484,6146.369140625
ld-16-beta-0-gamma-500,15.999332427978516,6141.3544921875
ld-16-beta-0.1-gamma-500,16.001359939575195,6141.5498046875
ld-4-beta-0-gamma-5000,16.5324649810791,10802.009765625
ld-4-beta-0.1-gamma-5000,16.563047409057617,10801.76953125
ld-4-beta-0.01-gamma-5000,16.572521209716797,10801.8740234375
ld-4-beta-1-gamma-5000,16.594572067260742,10802.505859375
ld-16-beta-0.01-gamma-100,18.88641357421875,3443.4140625
ld-16-beta-0.1-gamma-100,18.88783836364746,3443.946044921875
ld-16-beta-0-gamma-100,18.90505599975586,3443.3916015625
ld-16-beta-1-gamma-100,18.98700523376465,3452.85400390625
ld-32-beta-1-gamma-100,22.055831909179688,4058.551025390625
ld-32-beta-0.1-gamma-100,22.122425079345703,4049.0849609375
ld-32-beta-0.01-gamma-100,22.14937973022461,4048.610595703125
ld-32-beta-0-gamma-100,22.174686431884766,4048.5185546875
ld-4-beta-1-gamma-100,22.56450080871582,5755.83056640625
ld-4-beta-0.1-gamma-100,22.593923568725586,5754.802734375
ld-4-beta-0-gamma-100,22.605215072631836,5754.41748046875
ld-4-beta-0.01-gamma-100,22.619098663330078,5754.74755859375
ld-8-beta-1-gamma-100,23.46630096435547,3822.493408203125
ld-8-beta-0.01-gamma-100,23.697839736938477,3892.962890625
ld-8-beta-0-gamma-100,23.938993453979492,3947.4619140625
ld-8-beta-0.1-gamma-100,24.13703155517578,3883.0859375
