model_name,fid,fid_resnet,test_recon_loss
ld-8-beta-0-gamma-200,15.74025821685791,9.59561538696289,2716.586181640625
ld-8-beta-1-gamma-200,15.669729232788086,10.00006103515625,2723.691650390625
ld-6-beta-0-gamma-200,13.99375057220459,12.990560531616211,2738.42822265625
ld-6-beta-1-gamma-200,13.98879337310791,13.0109281539917,2741.7080078125
ld-16-beta-1-gamma-200,15.634611129760742,13.276130676269531,2697.7685546875
ld-16-beta-0-gamma-200,15.60456657409668,13.366145133972168,2693.299072265625
ld-6-beta-0-gamma-100,15.48757553100586,14.87872314453125,2393.34375
ld-6-beta-1-gamma-100,15.483888626098633,14.896493911743164,2398.37109375
ld-8-beta-1-gamma-100,18.390451431274414,19.446121215820312,2076.7783203125
ld-8-beta-0-gamma-100,18.44927978515625,20.094167709350586,2072.017333984375
ld-4-beta-1-gamma-100,17.343570709228516,25.477869033813477,2917.575927734375
ld-4-beta-0-gamma-100,17.403284072875977,25.70182991027832,2914.821044921875
ld-4-beta-0-gamma-200,13.458549499511719,27.21939468383789,3249.8662109375
ld-4-beta-1-gamma-200,13.469670295715332,27.409534454345703,3252.41162109375
ld-8-beta-1-gamma-500,15.088134765625,30.327415466308594,3866.547119140625
ld-8-beta-0-gamma-500,15.7412748336792,31.538969039916992,3873.514892578125
ld-16-beta-0-gamma-500,16.79478645324707,33.754844665527344,4075.473876953125
ld-16-beta-1-gamma-500,16.793384552001953,34.16738510131836,4078.9599609375
ld-16-beta-1-gamma-100,20.8691463470459,35.250457763671875,2265.906494140625
ld-16-beta-0-gamma-100,20.95677947998047,36.46803283691406,2260.479736328125
ld-6-beta-0-gamma-500,12.745984077453613,36.76322937011719,3791.328125
ld-6-beta-1-gamma-500,12.7567138671875,36.84394454956055,3794.10693359375
ld-4-beta-0-gamma-500,12.586541175842285,37.252803802490234,3798.363037109375
ld-4-beta-1-gamma-500,12.597649574279785,37.278072357177734,3800.30615234375
ld-4-beta-1-gamma-50,22.962621688842773,39.44123077392578,2858.62744140625
ld-4-beta-0-gamma-50,23.05475425720215,39.86565399169922,2856.82470703125
ld-8-beta-0-gamma-50,22.43559455871582,43.42512893676758,1852.7279052734375
ld-16-beta-0-gamma-1000,14.620767593383789,46.14886474609375,4633.26708984375
ld-16-beta-1-gamma-1000,14.63314437866211,46.2188606262207,4635.08447265625
ld-8-beta-0-gamma-1000,10.88308048248291,49.39321517944336,4537.0048828125
ld-8-beta-1-gamma-1000,10.893462181091309,49.476383209228516,4538.40966796875
ld-6-beta-0-gamma-1000,12.073358535766602,49.745758056640625,4772.1328125
ld-6-beta-1-gamma-1000,12.088346481323242,49.767940521240234,4773.708984375
ld-8-beta-1-gamma-50,22.955427169799805,49.99098205566406,1839.000732421875
ld-4-beta-1-gamma-20,26.30657958984375,50.57312774658203,2772.59423828125
ld-4-beta-0-gamma-20,26.652477264404297,52.94480895996094,2766.010498046875
ld-6-beta-1-gamma-50,23.581144332885742,54.71983337402344,2108.165771484375
ld-6-beta-0-gamma-50,23.670080184936523,57.2208137512207,2105.328125
ld-4-beta-0-gamma-1000,12.212756156921387,67.4848403930664,4491.396484375
ld-4-beta-1-gamma-1000,12.21784496307373,67.77379608154297,4494.41064453125
ld-6-beta-0-gamma-2000,13.40530014038086,77.30889892578125,5311.04345703125
ld-6-beta-1-gamma-2000,13.402644157409668,77.38233947753906,5311.84033203125
ld-16-beta-1-gamma-50,19.24425506591797,85.84818267822266,1790.547607421875
ld-16-beta-0-gamma-50,19.352598190307617,86.70169067382812,1785.572265625
ld-16-beta-0-gamma-2000,14.050204277038574,95.73804473876953,5564.27685546875
ld-16-beta-1-gamma-2000,14.066182136535645,95.81303405761719,5565.634765625
ld-2-beta-1-gamma-100,22.435604095458984,96.4554443359375,4937.2373046875
ld-2-beta-0-gamma-100,22.437734603881836,96.54434967041016,4936.0947265625
ld-2-beta-0-gamma-50,29.845367431640625,97.14820098876953,4816.01513671875
ld-2-beta-1-gamma-50,29.657197952270508,97.24191284179688,4816.447265625
ld-2-beta-1-gamma-10,45.31965255737305,98.27529907226562,4739.99853515625
ld-2-beta-0-gamma-10,46.60586929321289,98.29595947265625,4734.41259765625
ld-2-beta-1-gamma-200,19.876543045043945,98.49105072021484,5056.61376953125
ld-2-beta-0-gamma-200,19.886167526245117,98.51559448242188,5055.54443359375
ld-8-beta-0-gamma-20,31.347187042236328,98.83039855957031,1753.7763671875
ld-2-beta-1-gamma-20,37.79216003417969,101.32645416259766,4831.79345703125
ld-2-beta-0-gamma-20,38.44267654418945,101.4664535522461,4830.1787109375
ld-8-beta-0-gamma-2000,14.713563919067383,101.82891845703125,5417.41796875
ld-8-beta-1-gamma-2000,14.739294052124023,101.8439712524414,5419.2392578125
ld-4-beta-1-gamma-2000,12.333745002746582,102.01988983154297,5287.38134765625
ld-4-beta-0-gamma-2000,12.319811820983887,102.03946685791016,5286.16748046875
ld-4-beta-1-gamma-10,32.2720832824707,103.08431243896484,2729.711669921875
ld-2-beta-0-gamma-500,19.03095054626465,103.64179229736328,5231.07470703125
ld-2-beta-1-gamma-500,19.017549514770508,103.65752410888672,5231.50732421875
ld-2-beta-0-gamma-2000,18.37593650817871,105.88990783691406,5609.447265625
