model_name,frds,frds-elastic,dice_score
ld-8-beta-0-gamma-200,60.89885330200195,63.15715026855469,0.7776217460632324
ld-8-beta-1-gamma-200,61.085968017578125,63.95555877685547,0.7780388593673706
ld-6-beta-1-gamma-200,83.02132415771484,91.55488586425781,0.7827509641647339
ld-6-beta-0-gamma-200,83.20793914794922,91.5869369506836,0.783094584941864
ld-4-beta-0-gamma-100,89.04717254638672,94.49410247802734,0.7625800371170044
ld-4-beta-1-gamma-100,89.11811065673828,94.19035339355469,0.7627602815628052
ld-8-beta-1-gamma-100,91.05422973632812,100.813232421875,0.8195659518241882
ld-8-beta-0-gamma-100,91.54310607910156,101.13406372070312,0.820651650428772
ld-6-beta-1-gamma-100,96.52458190917969,108.07737731933594,0.8134247660636902
ld-6-beta-0-gamma-100,96.71928405761719,108.25135040283203,0.8139232993125916
ld-16-beta-1-gamma-100,108.80563354492188,120.17572021484375,0.8097389936447144
ld-16-beta-0-gamma-100,109.82779693603516,121.61074829101562,0.8105512857437134
ld-8-beta-1-gamma-50,113.50281524658203,118.7585678100586,0.8464087843894958
ld-8-beta-0-gamma-50,114.8216323852539,120.45132446289062,0.8465570211410522
ld-6-beta-1-gamma-50,114.8983383178711,126.91128540039062,0.8374216556549072
ld-16-beta-0-gamma-200,116.03535461425781,115.63557434082031,0.7648835182189941
ld-6-beta-0-gamma-50,116.07246398925781,128.22854614257812,0.8380372524261475
ld-16-beta-1-gamma-200,116.18997955322266,115.68551635742188,0.7648961544036865
ld-4-beta-0-gamma-200,121.10404968261719,113.539306640625,0.7460947632789612
ld-4-beta-1-gamma-200,121.38396453857422,113.47884368896484,0.7458690404891968
ld-8-beta-0-gamma-500,128.5231475830078,120.57657623291016,0.6887182593345642
ld-8-beta-1-gamma-500,128.77886962890625,120.7347412109375,0.6885644197463989
ld-4-beta-1-gamma-50,130.5177764892578,126.28466033935547,0.7770501971244812
ld-4-beta-0-gamma-50,131.59024047851562,126.90721130371094,0.7770990133285522
ld-16-beta-0-gamma-500,135.69085693359375,133.23292541503906,0.6971923112869263
ld-16-beta-1-gamma-500,135.96995544433594,133.4409637451172,0.6964995861053467
ld-6-beta-1-gamma-500,140.16079711914062,127.0067367553711,0.6985347270965576
ld-6-beta-0-gamma-500,141.25604248046875,128.072998046875,0.698985755443573
ld-4-beta-0-gamma-500,146.2563018798828,145.5480194091797,0.6931445002555847
ld-4-beta-1-gamma-500,146.321044921875,145.57090759277344,0.693257212638855
ld-16-beta-0-gamma-1000,158.37954711914062,145.701904296875,0.6351799964904785
ld-16-beta-1-gamma-1000,158.5529022216797,145.82054138183594,0.6351222991943359
ld-8-beta-0-gamma-1000,164.5028839111328,130.2780303955078,0.625184178352356
ld-8-beta-1-gamma-1000,164.64401245117188,130.35104370117188,0.6250998973846436
ld-4-beta-0-gamma-20,176.45826721191406,161.826171875,0.7880650162696838
ld-4-beta-1-gamma-20,185.0778045654297,167.98146057128906,0.7873464822769165
ld-4-beta-0-gamma-1000,192.14651489257812,157.06298828125,0.6404223442077637
ld-4-beta-1-gamma-1000,192.35015869140625,157.18133544921875,0.640328049659729
ld-4-beta-1-gamma-10,206.08352661132812,237.87924194335938,0.7912890315055847
ld-16-beta-1-gamma-50,207.12570190429688,209.1832733154297,0.8531215786933899
ld-16-beta-0-gamma-50,219.11056518554688,218.3758087158203,0.8542155027389526
ld-6-beta-0-gamma-1000,219.55857849121094,183.45970153808594,0.6419236660003662
ld-6-beta-1-gamma-1000,219.74569702148438,183.53955078125,0.6418095827102661
ld-4-beta-0-gamma-10,220.01185607910156,260.4018249511719,0.789770245552063
ld-16-beta-0-gamma-2000,220.36163330078125,168.52029418945312,0.5681606531143188
ld-16-beta-1-gamma-2000,220.46018981933594,168.6896514892578,0.5681374669075012
ld-6-beta-1-gamma-2000,240.56373596191406,180.67404174804688,0.587445855140686
ld-6-beta-0-gamma-2000,240.57919311523438,180.70614624023438,0.5875133275985718
ld-4-beta-1-gamma-2000,249.97218322753906,174.42726135253906,0.5919688940048218
ld-4-beta-0-gamma-2000,249.99151611328125,174.37362670898438,0.5917371511459351
ld-6-beta-1-gamma-5000,258.66497802734375,200.67678833007812,0.5247224569320679
ld-6-beta-0-gamma-5000,258.73175048828125,200.7079620361328,0.5247447490692139
ld-8-beta-0-gamma-2000,259.9175720214844,188.03317260742188,0.5819729566574097
ld-8-beta-1-gamma-2000,259.969482421875,188.0636444091797,0.5819167494773865
ld-8-beta-1-gamma-5000,272.49542236328125,214.30828857421875,0.5242618918418884
ld-8-beta-0-gamma-5000,272.6244201660156,214.40249633789062,0.5243499279022217
ld-16-beta-1-gamma-5000,289.1847229003906,209.16897583007812,0.5294996500015259
ld-16-beta-0-gamma-5000,289.23114013671875,209.11509704589844,0.5295494198799133
ld-4-beta-0-gamma-5000,297.75115966796875,217.78717041015625,0.5306917428970337
ld-4-beta-1-gamma-5000,297.9635314941406,217.96029663085938,0.5301436185836792
ld-2-beta-1-gamma-2000,303.6610412597656,232.5857391357422,0.5775160193443298
ld-2-beta-0-gamma-2000,303.67535400390625,232.58836364746094,0.5775659084320068
ld-8-beta-1-gamma-20,304.4411926269531,273.7517395019531,0.8618289232254028
ld-2-beta-1-gamma-5000,308.75848388671875,245.11590576171875,0.531009316444397
ld-2-beta-0-gamma-5000,309.58837890625,245.67922973632812,0.5317624807357788
ld-8-beta-0-gamma-20,319.7597961425781,284.9890441894531,0.8621002435684204
ld-4-beta-1-gamma-5,327.49639892578125,380.4541320800781,0.7719053626060486
ld-2-beta-1-gamma-1000,331.8565368652344,242.17491149902344,0.6028369069099426
ld-2-beta-0-gamma-1000,331.8847961425781,242.18606567382812,0.6029088497161865
ld-2-beta-1-gamma-200,340.578369140625,258.8065185546875,0.6180902719497681
ld-2-beta-0-gamma-200,340.9426574707031,259.1431579589844,0.6181082725524902
ld-2-beta-1-gamma-500,341.03955078125,257.5246276855469,0.6101895570755005
ld-2-beta-0-gamma-500,341.22705078125,257.7095642089844,0.6102408170700073
ld-2-beta-1-gamma-100,343.33001708984375,251.8936767578125,0.6233367323875427
ld-2-beta-0-gamma-100,343.8529052734375,252.18312072753906,0.6234260201454163
ld-2-beta-1-gamma-50,364.2550354003906,276.3623962402344,0.6369077563285828
ld-2-beta-0-gamma-50,365.3504943847656,277.49066162109375,0.637345552444458
ld-6-beta-1-gamma-20,382.10015869140625,313.1927795410156,0.8494153022766113
ld-6-beta-0-gamma-20,399.08258056640625,325.060791015625,0.8496954441070557
ld-4-beta-0-gamma-5,408.15869140625,450.8543395996094,0.793475329875946
ld-4-beta-1-gamma-1,409.7294006347656,437.4061279296875,0.7862474322319031
ld-4-beta-1-gamma-2,440.4877014160156,572.8566284179688,0.7915235757827759
ld-2-beta-1-gamma-20,472.4761657714844,376.25543212890625,0.6494176983833313
ld-2-beta-0-gamma-20,477.32568359375,380.8808288574219,0.6493959426879883
ld-16-beta-1-gamma-20,478.27923583984375,449.4561767578125,0.8817892670631409
ld-2-beta-1-gamma-10,481.4961242675781,403.8547668457031,0.6380491256713867
ld-2-beta-0-gamma-10,485.75146484375,421.8146057128906,0.638468861579895
ld-2-beta-1-gamma-5,492.84259033203125,481.4766540527344,0.6429749727249146
ld-16-beta-0-gamma-20,493.4000244140625,458.9436340332031,0.8829916715621948
ld-2-beta-0-gamma-5,508.4308166503906,506.9345397949219,0.6446427702903748
ld-2-beta-1-gamma-2,535.5576782226562,555.85498046875,0.6466242671012878
ld-2-beta-0-gamma-2,558.17236328125,581.26513671875,0.6509624719619751
ld-2-beta-1-gamma-1,574.757080078125,591.9141845703125,0.6516969203948975
ld-2-beta-0-gamma-1,621.6038208007812,620.5206298828125,0.6493982672691345
ld-8-beta-1-gamma-10,668.560546875,537.8399658203125,0.8674688935279846
ld-6-beta-1-gamma-10,675.1536254882812,511.7344970703125,0.857074499130249
ld-8-beta-0-gamma-10,707.1180419921875,573.032958984375,0.8685557842254639
ld-6-beta-0-gamma-10,715.168701171875,538.7413940429688,0.8576743006706238
ld-4-beta-0-gamma-1,767.9461669921875,874.8197631835938,0.7868571281433105
ld-16-beta-1-gamma-10,798.898193359375,660.8856201171875,0.8922623991966248
ld-16-beta-0-gamma-10,828.4305419921875,681.4952392578125,0.8905792236328125
ld-16-beta-1-gamma-5,888.0103759765625,743.8523559570312,0.8935192823410034
